Feature,Importance
Age,0.6604160139949158
LengthService,0.09111442993848605
Gender_M,0.01483131151443466
DepartmentName_Bakery,0.003463615368726366
City_Vancouver,0.0034626079595892908
JobTitle_Baker,0.0033827613414603875
DepartmentName_Meats,0.0033651748238653933
JobTitle_Meat Cutter,0.00323003602457733
StoreLocation_Vancouver,0.0032213710035338167
JobTitle_Cashier,0.003202513853922117
JobTitle_Dairy Person,0.0031843532139503657
DepartmentName_Customer Service,0.003172661487414804
StoreLocation_Victoria,0.0031609525211213707
City_New Westminster,0.003152812755437023
DepartmentName_Dairy,0.0031505750610317015
DepartmentName_Produce,0.003143732312323494
JobTitle_Produce Clerk,0.0031417390435616783
City_Victoria,0.0029057656869187903
StoreLocation_New Westminster,0.002902295212951556
DepartmentName_Processed Foods,0.0028959000331197477
StoreLocation_Kelowna,0.0027964876295682485
JobTitle_Shelf Stocker,0.0027256797833037135
StoreLocation_Nanaimo,0.0026257039649515185
StoreLocation_Kamloops,0.0023562910406503537
City_Burnaby,0.0022991687425675876
City_Nanaimo,0.0022852321346786297
StoreLocation_Burnaby,0.002229378635426787
StoreLocation_Prince George,0.002188616036374784
StoreLocation_Cranbrook,0.002173698076526353
City_Kelowna,0.0021470415764639284
City_Prince George,0.002140114643636802
StoreLocation_Langley,0.0020953188219967347
City_Richmond,0.0020501100303717086
City_Langley,0.002027338719454101
City_Surrey,0.002009660756954883
StoreLocation_Surrey,0.00194339890028162
StoreLocation_Squamish,0.0018820243106862859
StoreLocation_Richmond,0.001822401135576918
StoreLocation_Vernon,0.0018208115391127036
StoreLocation_Terrace,0.0017044644093379463
StoreLocation_Trail,0.001647771335486019
City_Kamloops,0.0016436664800156303
StoreLocation_Chilliwack,0.0016383179698669045
StoreLocation_West Vancouver,0.0016318079057510942
City_North Vancouver,0.0015139598221703856
StoreLocation_Fort St John,0.001496443104866478
City_West Vancouver,0.0014640770481911727
City_Vernon,0.0014246843435612054
City_Whistler,0.0013947649566416465
City_Penticton,0.0013897035457431746
StoreLocation_North Vancouver,0.0013858587296962826
City_Campbell River,0.001379549538109596
City_Chilliwack,0.0013285211994135402
City_Fort St John,0.001310543697283294
Division_FinanceAndAccounting,0.0013104964603492689
Division_Stores,0.0013053314602479824
City_Aldergrove,0.0012637707915497216
BusinessUnit_Stores,0.0012528890712487197
City_Houston,0.0012463358890461205
City_Coquitlam,0.0011962265177313284
City_Trail,0.0011837877865878068
StoreLocation_Williams Lake,0.0011495748675350312
City_Salmon Arm,0.0011485032828044003
StoreLocation_Aldergrove,0.0011388805060342613
City_Sandspit,0.001136101345196751
StoreLocation_Quesnel,0.0011152751308895557
StoreLocation_Port Coquitlam,0.001103555565031075
City_Huntingdon,0.0010995703190030675
City_Fort Langley,0.0010895338932491803
City_New Westminister,0.0010777511773572052
JobTitle_Bakery Manager,0.0010649980572511604
City_Courtenay,0.001048602643591733
StoreLocation_New Westminister,0.001039102818369514
City_Fort Nelson,0.001038592836005703
StoreLocation_Nelson,0.0010374441392130371
City_Cranbrook,0.0010136499768734666
City_Port Alberni,0.0009420281473732625
City_Westbank,0.0009019197374865387
City_Nelson,0.0008890652694559713
City_Port Coquitlam,0.0008756341888987676
StoreLocation_Fort Nelson,0.0008735999730341221
City_Chilako River,0.0008569339221441836
City_Squamish,0.0008546921810838266
City_Terrace,0.0008376677005920584
City_Summerland,0.0008293778928624365
City_Gibsons,0.0008177186130753438
JobTitle_Produce Manager,0.0008177116621429055
City_Ucluelet,0.0008168626198796502
Division_HumanResources,0.0008082741503049066
City_Duncan,0.000804920803337085
JobTitle_Customer Service Manager,0.000785355015989221
JobTitle_Processed Foods Manager,0.0007646534714716762
City_Sooke,0.000760649902250949
City_Port Hardy,0.0007561107615533008
StoreLocation_Dawson Creek,0.0007393045531783925
City_Jaffray,0.0007338746495229324
City_Williams Lake,0.0007305878457652779
City_Smithers,0.000714322782004112
City_Merritt,0.0007128080190191515
City_Sparwood,0.0006991044537355343
City_Chetwynd,0.0006878594929722062
City_Sardis,0.0006873080603055692
City_Osoyoos,0.0006602425871029764
City_Ganges,0.0006600135454458627
City_Qualicum Beach,0.0006547344462113882
City_Lakelse Lake,0.0006545346054668545
StoreLocation_Haney,0.0006542891612271325
City_Golden,0.0006513590217799756
City_Westwold,0.0006504520822919551
City_Klemtu,0.0006503077704396817
City_Bamfield,0.0006486651170586459
City_Canal Flats,0.0006351181459126502
StoreLocation_Grand Forks,0.0006225136058521178
StoreLocation_Bella Bella,0.0006011828801737716
City_Logan Lake,0.0005956207053183588
City_Tofino,0.0005941703998970254
JobTitle_Meats Manager,0.0005867442278601775
City_Haney,0.0005784020517341606
City_Skookumchuck,0.0005773921145629644
City_Woss,0.000571420134620727
City_Gabriola Island,0.0005695194980802132
City_Rutland,0.0005664094242240163
City_Dawson Creek,0.0005558172791141748
City_Topley,0.0005530795554743026
City_Port Alice,0.0005482370168791768
City_Comox,0.0005470858500003981
City_Fernie,0.0005449405889920577
City_Invermere,0.0005438872711733904
City_Lakeview Heights,0.0005407120013186655
City_Winfield,0.0005401083557489004
City_Pritchard,0.0005375160642467339
City_Vallican,0.0005345146597750287
City_Chief Lake,0.0005266247527586359
StoreLocation_Dease Lake,0.0005261898133607725
City_Hope,0.000517243982852971
City_Decker Lake,0.0005153638576057762
StoreLocation_Princeton,0.0005130971257792849
JobTitle_Store Manager,0.0005113710652435714
City_Tappen,0.000510898692852621
City_Salmo,0.0005062245331698659
City_Revelstoke,0.0004977459462026071
City_Fort St James,0.0004916988415923653
